# INIT TIME STEP TEST ..................................................  
# VDS       : 0.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# NPLC      : 1.0
# DELETE    : 0.0
# :: ----------------------------------- TIME --------------------------------------
# ::     Time 	 IDS 	 IGS 	 VDS 	 VGS 	 XPIN 	 | Shutter | 	 Delta Time	     
# :: -------------------------------------------------------------------------------
17.5000 -1.060950E-06 +6.387056E-09 0.0 0.0 -3.950983E-13 | 0 | 0.1000
17.6000 -1.060238E-06 +4.374974E-09 0.0 0.0 +1.504998E-13 | 0 | 0.1000
17.7000 -1.059441E-06 +4.626465E-09 0.0 0.0 +2.798159E-13 | 0 | 0.1000
17.9000 -1.060741E-06 +6.009776E-09 0.0 0.0 -5.506989E-13 | 0 | 0.2000
18.0000 -1.059316E-06 +5.716361E-09 0.0 0.0 +5.950237E-13 | 0 | 0.1000
18.1000 -1.060196E-06 +6.051704E-09 0.0 0.0 -4.759308E-13 | 0 | 0.1000
18.3000 -1.059903E-06 +6.009784E-09 0.0 0.0 +8.786247E-14 | 0 | 0.2000
18.4000 -1.060323E-06 +5.422923E-09 0.0 0.0 +3.869061E-13 | 0 | 0.1000
18.5000 -1.059903E-06 +5.297178E-09 0.0 0.0 -6.153651E-13 | 0 | 0.1000
18.6000 -1.060028E-06 +5.674444E-09 0.0 0.0 +5.202626E-13 | 0 | 0.1000
18.8000 -1.059734E-06 +5.087584E-09 0.0 0.0 -4.233902E-13 | 0 | 0.2000
18.9000 -1.059106E-06 +5.171422E-09 0.0 0.0 +8.786240E-14 | 0 | 0.1000
19.0000 -1.059525E-06 +6.303222E-09 0.0 0.0 +4.636877E-13 | 0 | 0.1000
19.1000 -1.060112E-06 +6.009792E-09 0.0 0.0 -5.183665E-13 | 0 | 0.1000
19.3000 -1.060070E-06 +5.255258E-09 0.0 0.0 +5.546119E-13 | 0 | 0.2000
19.4000 -1.060237E-06 +5.506767E-09 0.0 0.0 -3.607448E-13 | 0 | 0.1000
19.5000 -1.061075E-06 +5.003739E-09 0.0 0.0 +5.019577E-15 | 0 | 0.1000
19.6000 -1.061034E-06 +6.051700E-09 0.0 0.0 +3.848856E-13 | 0 | 0.1000
19.8000 -1.059442E-06 +5.003744E-09 0.0 0.0 -5.608036E-13 | 0 | 0.2000
19.9000 -1.060070E-06 +5.129499E-09 0.0 0.0 +4.172138E-13 | 0 | 0.1000
20.0000 -1.061285E-06 +5.884030E-09 0.0 0.0 -2.839541E-13 | 0 | 0.1000
20.2000 -1.060405E-06 +5.045656E-09 0.0 0.0 -3.062649E-15 | 0 | 0.2000
20.3000 -1.059190E-06 +4.836066E-09 0.0 0.0 +3.707418E-13 | 0 | 0.1000
20.4000 -1.060155E-06 +6.261296E-09 0.0 0.0 -5.042207E-13 | 0 | 0.1000
20.5000 -1.059734E-06 +5.339083E-09 0.0 0.0 +4.960158E-13 | 0 | 0.1000
20.7000 -1.059399E-06 +5.590597E-09 0.0 0.0 -2.778919E-13 | 0 | 0.2000
